Unnamed: 0,0.0,0.0166666666666666,0.0.1,0.0.2,2.8833333333333333,8.0,2,26.96666666666667,5:0,13:0,0.0.3,0.0.4,0.0.5,0.0.6,2.1,Date,Going-out,Cooking,Eating,Bathing,Other,Sleeping,pred,timeLeft,sleepStart,sleepEnd,goingoutLengthPre,cookingLengthPre,eatingLengthPre,bathingLengthPre,otherLengthPre
,,,,,,,,,,,,,,,,2023年03月31日 02:29:47,0.0,4.0,0.0,0.0,17.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:47,0.0,5.0,0.0,0.0,16.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:47,0.0,6.0,0.0,0.0,15.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:48,0.0,7.0,0.0,0.0,14.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:48,0.0,9.0,0.0,0.0,12.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:49,0.0,2.0,0.0,0.0,19.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:49,0.0,1.0,0.0,0.0,20.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:49,0.0,3.0,0.0,0.0,18.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:50,0.0,5.0,0.0,0.0,16.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:50,0.0,6.0,0.0,0.0,15.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:50,0.0,7.0,0.0,0.0,14.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
,,,,,,,,,,,,,,,,2023年03月31日 02:29:50,0.0,8.0,0.0,0.0,13.516666666666666,0.0,1.0,21.96666666666667,0:0,0:0,0.0,0.0,0.0,0.0,2.4833333333333334
